Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.701508,0.704500,0.701508,0.701700,0.701700,0
2020-01-02,0.701892,0.702100,0.698130,0.701951,0.701951,0
2020-01-03,0.698370,0.698661,0.693140,0.698519,0.698519,0
2020-01-06,0.694729,0.695900,0.692602,0.694420,0.694420,0
2020-01-07,0.693720,0.694100,0.686111,0.693731,0.693731,0
2020-01-08,0.685951,0.688600,0.684970,0.686040,0.686040,0
2020-01-09,0.687540,0.688070,0.685200,0.687380,0.687380,0
2020-01-10,0.685439,0.690670,0.685119,0.685321,0.685321,0
2020-01-13,0.689812,0.692200,0.689560,0.690060,0.690060,0
2020-01-14,0.689770,0.691000,0.688650,0.689890,0.689890,0
2020-01-15,0.689400,0.691400,0.687880,0.689655,0.689655,0
2020-01-16,0.690799,0.693500,0.689270,0.690780,0.690780,0
2020-01-17,0.689750,0.691300,0.687290,0.690100,0.690100,0
2020-01-20,0.688288,0.689000,0.685598,0.688179,0.688179,0
2020-01-21,0.687680,0.688200,0.684500,0.687640,0.687640,0
2020-01-22,0.684730,0.685800,0.682790,0.684690,0.684690,0
2020-01-23,0.684228,0.688000,0.683088,0.684299,0.684299,0
2020-01-24,0.684781,0.685800,0.682030,0.683980,0.683980,0
2020-01-27,0.680291,0.681900,0.675440,0.680189,0.680189,0
2020-01-28,0.676110,0.676700,0.673918,0.676170,0.676170,0
2020-01-29,0.676410,0.678000,0.673668,0.676421,0.676421,0
2020-01-30,0.675210,0.675279,0.670170,0.675219,0.675219,0
2020-01-31,0.670871,0.672900,0.668360,0.670826,0.670826,0
2020-02-03,0.669232,0.670900,0.668440,0.669362,0.669362,0
2020-02-04,0.668999,0.673530,0.668061,0.669050,0.669050,0
2020-02-05,0.673290,0.677500,0.672490,0.673179,0.673179,0
2020-02-06,0.675178,0.676600,0.673138,0.675180,0.675180,0
2020-02-07,0.673219,0.673265,0.666270,0.673400,0.673400,0
2020-02-10,0.666960,0.670800,0.666960,0.667232,0.667232,0
2020-02-11,0.668869,0.673655,0.668311,0.669010,0.669010,0
2020-02-12,0.671962,0.675100,0.671380,0.672100,0.672100,0
2020-02-13,0.671310,0.674432,0.671270,0.671320,0.671320,0
2020-02-14,0.671980,0.673100,0.671100,0.672200,0.672200,0
2020-02-17,0.672509,0.673446,0.671360,0.672599,0.672599,0
2020-02-18,0.670979,0.671006,0.667472,0.671200,0.671200,0
2020-02-19,0.669480,0.670745,0.666590,0.669600,0.669600,0
2020-02-20,0.668090,0.669200,0.661090,0.668400,0.668400,0
2020-02-21,0.661260,0.663967,0.658680,0.661380,0.661380,0
2020-02-24,0.660559,0.662100,0.658780,0.660690,0.660690,0
2020-02-25,0.661120,0.662400,0.658718,0.661201,0.661201,0
2020-02-26,0.660450,0.660600,0.655340,0.660520,0.660520,0
2020-02-27,0.654892,0.659152,0.654639,0.654652,0.654652,0
